probe_id	gene_symbol	gene_id	gene_title	mapping_status
201374_x_at	PPP2CB	5516	protein phosphatase 2 catalytic subunit beta	single_symbol
201375_s_at	PPP2CB	5516	protein phosphatase 2 catalytic subunit beta	single_symbol
201376_s_at	HNRNPF	3185	heterogeneous nuclear ribonucleoprotein F	single_symbol
201377_at	UBAP2L	9898	ubiquitin associated protein 2 like	single_symbol
201378_s_at	UBAP2L	9898	ubiquitin associated protein 2 like	single_symbol
201379_s_at	TPD52L2	7165	tumor protein D52 like 2	single_symbol
201380_at	CRTAP	10491	cartilage associated protein	single_symbol
201381_x_at	CACYBP	27101	calcyclin binding protein	single_symbol
201382_at	CACYBP	27101	calcyclin binding protein	single_symbol
201383_s_at	NBR1	4077	NBR1, autophagy cargo receptor	single_symbol
201384_s_at	NBR1	4077	NBR1, autophagy cargo receptor	single_symbol
201385_at	DHX15	1665	DEAH-box helicase 15	single_symbol
201386_s_at	DHX15	1665	DEAH-box helicase 15	single_symbol
201387_s_at	UCHL1	7345	ubiquitin C-terminal hydrolase L1	single_symbol
201388_at	PSMD3	5709	proteasome 26S subunit, non-ATPase 3	single_symbol
201389_at	ITGA5	3678	integrin subunit alpha 5	single_symbol
201390_s_at	CSNK2B	1460	casein kinase 2 beta	single_symbol
201391_at	TRAP1	10131	TNF receptor associated protein 1	single_symbol
201392_s_at	IGF2R	3482	insulin like growth factor 2 receptor	single_symbol
201393_s_at	IGF2R	3482	insulin like growth factor 2 receptor	single_symbol
201394_s_at	RBM5	10181	RNA binding motif protein 5	single_symbol
201395_at	RBM5	10181	RNA binding motif protein 5	single_symbol
201396_s_at	SGTA	6449	small glutamine rich tetratricopeptide repeat containing alpha	single_symbol
201397_at	PHGDH	26227	phosphoglycerate dehydrogenase	single_symbol
201398_s_at	TRAM1	23471	translocation associated membrane protein 1	single_symbol
201399_s_at	TRAM1	23471	translocation associated membrane protein 1	single_symbol
201400_at	PSMB3	5691	proteasome subunit beta 3	single_symbol
201401_s_at	GRK2	156	G protein-coupled receptor kinase 2	single_symbol
201402_at	GRK2	156	G protein-coupled receptor kinase 2	single_symbol
201403_s_at	MGST3	4259	microsomal glutathione S-transferase 3	single_symbol
201404_x_at	PSMB2	5690	proteasome subunit beta 2	single_symbol
201405_s_at	COPS6	10980	COP9 signalosome subunit 6	single_symbol
